GitHub Line,Naran,Tetun,,,,,Tetun
4,navegador-konfirma,konfirma,,,,,
5,navegador-realizadu,Realizadu,,,,,
6,navegador-tuir mai,tuir mai,,,,,
23,livrus,Ha'u nia livrus,,,,,
24,livrus-sinkroniza,Sinkroniza-konta,,,,,
25,livrus fahe tuir,fahe tuir,,,,,
26,livrus fahe tuir autor,Autor,,,,,
27,livrus tuir titulu,Titulu,,,,,
34,Katálogo,Katálogo,,,,,
35,Presiza tan-katálogo- ba livrus,Presiza tan…,,,,,
36,deskrisaun-Katálogo-ba livrus,Deskrisaun,,,,,
37,esplikasaun-Katálogo-ba livrus,esplikasaun,,,,,
38,katálogo_hatama_titulu_sala,Sala,,,,,
39,katálogo_hatama_testu_sala,"Bainhira hatama hela katálogo, iha sala ida. Favor koko fila fali.",,,,,
40,Katálogo_hatama_la iha ligasaun,Ita la iha ligasaun ho internet. Favor liga internet no koko fila fali.,,,,,
43,katálogo_livru_hasai_konfirma,Ita hakarak duni hasai livru ne'e husi Ha'u nia Livrus?,,,,,
44,katálogo_kansela_transferênsia,Kansela,,,,,
45,katálogo_Kategorias,Kategorias,,,,,
46,katálogo_esplika_relasaun,Livrus mak iha relasaun,,,,,
47,anulasaun_katálogo-falha,Nia operasaun la kompletu .,,,,,
48,transferênsia- katálogo_falha,Transferênsia la kompletu. ,,,,,
50,transferênsia- katálogo_falha_konta la ativa.,Instrumentu ne'e seidauk ativadu. ,Bá iha konta konfigurasaun hodi ativa.,,,,
55,katálogo_transferênsia,transferênsia,,,,,
56,katálogo_fonte_mamuk,La hetan rezultadu.,,,,,
57,katálogo_mamuk_ha'u_nia livrus,Vizita katálogo ba\nadd livrus iha ha'u nia livrus.,,,,,
58,katálogo_meta_la loos/sala,metadata aat tiha!Favor sinkroniza ita nia konta atu bele hadi'ak fali. ,,,,,
59,katálogo_meta_halo sala títulu,metadata aat tiha!  ,,,,,
60,katálogo_publikasaun_data,Publikadu,,,,,
61,katálogo_editór,Editór,,,,,
62,katálogo_refreska,Refreska fonte,,,,,
63,katálogo_buka,Buka,,,,,
64,katálogo_fonte-deskonhesidu,Deskonhesidu,,,,,
65,katálogo_aumenta tan _fonte,aumenta tan,,,,,
66,katálogo_husu_empréstimu,Husu,,,,,
67,katálogo_husu_anulasaun,Husu,,,,,
68,katálogo_tau tan atu halo transferênsia tuir mai,Tau tan ba Ha'u nia Livrus hodi halo transferênsia depois.,,,,,
71,katálogo_empréstimu-livru,Hetan,,,,,
73,katálogo_livru_lee,Lee,,,,,
74,katálogo_livru_sala_hasai tiha ,apaga ka hasai tiha,,,,,
75,katálogo_livru_sala_koko fali,koko  fali,,,,,
76,katálogo_livru_sala -koko fali_agora,Koko fali agora,,,,,
77,katálogo_livru_sala -transfere_ikus mai,transfere ikus mai,,,,,
78,katálogo_livru_sinkroniza,Sinkroniza,,,,,
79,katálogo_livru_transfere,transfere ,,,,,
80,katálogo_livru_Hatama tan,Hatama tan ba iha Ha'u nia Livrus,,,,,
81,katálogo_livru_hasai tiha,hasai tiha,,,,,
82,katálogo_livru_anula_empréstimu,Fó fali agora,,,,,
83,katálogo_livru_anula_kaer hela,hasai,,,,,
84,katálogo_livru_relatóriu,relatóriu Issue,,,,,
85,katálogo_livru_fahe,fahe: %s,,,,,
86,katálogo_livru_anula_kansela,kansela,,,,,
102,katálogo_livru_intervalu_tinan_badak,y,,,,,
103,katálogo_livru_intervalu_fulan_badak,m,,,,,
104,katálogo_livru_intervalu_semanas_badak,w,,,,,
105,katálogo_livru_intervalu_loron_badak,d,,,,,
106,katálogo_livru_intervalu_horas_badak,h,,,,,
108,katálogo_livru_sumáriu_editor,livru editor,,,,,
111,katálogo_livru_relatóriu_sala_genéru,sala Genéru,,,,,
112,katálogo_livru_relatóriu_sala_audiênsia,sala audiênsia,,,,,
